Time, Operation, Operation_name, Description
05:20:47.250,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [11] channel=mychannel
05:20:48.210,CommitLegacy,[kvledger],[mychannel] Committed block [11] with 1 transaction(s) in 959ms (state_validation=0ms block_and_pvtdata_commit=306ms state_commit=544ms) commitHash=[88c48140f3ac7ab1bef06d5e8922747ed457f551ec3224e83fe353a511b21b15]
05:21:39.936,StoreBlock,[gossip.privdata],[mychannel] Received block [12] from buffer
05:21:39.937,Validate,[committer.txvalidator],[mychannel] Validated block [12] in 1ms
05:21:39.937,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [12] channel=mychannel
05:21:40.739,CommitLegacy,[kvledger],[mychannel] Committed block [12] with 1 transaction(s) in 801ms (state_validation=0ms block_and_pvtdata_commit=273ms state_commit=434ms) commitHash=[439b221f7f48c0be1a91d5b0bb107e965ed2aba4fed5f44cd0c5fa358840e695]
05:22:42.283,StoreBlock,[gossip.privdata],[mychannel] Received block [13] from buffer
05:22:42.284,Validate,[committer.txvalidator],[mychannel] Validated block [13] in 0ms
05:22:42.284,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [13] channel=mychannel
05:22:43.233,CommitLegacy,[kvledger],[mychannel] Committed block [13] with 1 transaction(s) in 948ms (state_validation=0ms block_and_pvtdata_commit=411ms state_commit=412ms) commitHash=[62f6f750a2ee97a4ed900153889d92158ad6de81ea929b6782c0c7ffafa7548c]
05:23:30.041,callChaincode,[endorser],finished chaincode: fabcar duration: 8ms channel=mychannel txID=d32984af
05:23:30.042,1,[comm.grpc.server],unary call completed grpc.service=protos.Endorser grpc.method=ProcessProposal grpc.peer_address=172.23.0.1:45866 grpc.peer_subject="CN=fabric-common" grpc.code=OK grpc.call_duration=9.323619ms
05:23:32.525,StoreBlock,[gossip.privdata],[mychannel] Received block [14] from buffer
05:23:32.526,Validate,[committer.txvalidator],[mychannel] Validated block [14] in 0ms
05:23:32.526,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [14] channel=mychannel
05:23:33.394,CommitLegacy,[kvledger],[mychannel] Committed block [14] with 1 transaction(s) in 868ms (state_validation=0ms block_and_pvtdata_commit=222ms state_commit=529ms) commitHash=[ae345d649dc7a7950dceb3a33cc3f86b6945bc527d0e7e538dbc212d423b7103]
05:24:18.816,StoreBlock,[gossip.privdata],[mychannel] Received block [15] from buffer
05:24:18.817,Validate,[committer.txvalidator],[mychannel] Validated block [15] in 0ms
05:24:18.817,prepareBlockPvtdata,[gossip.privdata],Successfully fetched all eligible collection private write sets for block [15] channel=mychannel
05:24:19.580,CommitLegacy,[kvledger],[mychannel] Committed block [15] with 1 transaction(s) in 762ms (state_validation=0ms block_and_pvtdata_commit=208ms state_commit=454ms) commitHash=[0849e248f13abaaa5d4b35c7961dab2e74c1205325ec38cc77c3e0e8ddbf80c0]
